gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Database_comparisons/DiffBind_Jurkat_3L_DESeq2_contrast6, 1496045, 297276038530856.0
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Database_comparisons/Jurkat_ATAC_seq_3L, 19647478, 297290270819081.2
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Database_comparisons/HepG2_ATAC_seq_3L, 6034111, 297448954166908.44
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/HepG2_ATAC_seq_3L_wX100sortedBAM/HepG2_3L_X100_FF_merged/HepG2_3L_X100_FF_merged_zinba_files, 32759621, 302288371732098.0
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Jurkat_ATAC_seq_1L/SL49783, 261640937, 291153477961364.25
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Jurkat_ATAC_seq_1L/SL49764, 244596922, 289797282549459.1
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Jurkat_ATAC_seq_1L/Failed_pipeline_run_logs, 2001, 289606652951489.5
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Jurkat_ATAC_seq_1L/SL49776, 325016692, 289797306959450.5
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/HepG2_ATAC_seq_1L/SL49771, 148257373, 289830000747449.1
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/HepG2_ATAC_seq_1L/Failed_pipeline_run_logs, 1624212, 289606618417910.75
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/HepG2_ATAC_seq_1L/SL49772, 53185977, 289831950195154.5
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/HepG2_ATAC_seq_1L/SL49785, 222447225, 289828480683176.1
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Jurkat_ATAC_seq_3L_X100BAM/SL49763/SL49763_fseq_thresh2_f0_default, 2906195, 302820082740193.75
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/HepG2_ATAC_seq_3L_X100BAM, 2375, 302123992034003.0
gpfs1/home/kwilliams/GOLDN/GOLDN_followup_FF_study/Jurkat_ATAC_seq_3L_wX100sortedBAM/Jurkat_3L_X100_DMSO_merged/Jurkat_3L_X100_DMSO_merged_zinba_files, 2866306539, 302225043480714.5
